Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
"Masa de tarta, SIN TACC",283,40.6,2.7,9.3,0,5.30,3.00,1.00,0,0.95,0.050,0,0,0,47.0,47.4,2.7,0,0.4,0,x,497,x,x,x,x,x,x,x,x,x,0,0,0,x,x,0,0,0
"Pan rallado, SIN TACC",335,15.6,3.5,0.9,0,0.33,0.33,0.10,0,0.08,0.002,0,0,0,78.4,80.1,0,0,1.7,0,x,439,x,x,x,x,x,x,x,x,x,0,0,0,x,x,0,0,0
"Premezcla para panificados, pas- tas y postres, SIN TACC",357,12.0,2.8,1.8,0,1.00,1.50,0.30,0,0.27,0.030,0,0,0,82.5,83.5,0,0,1.0,0,x,40,x,x,x,x,x,x,x,x,x,0,0,0,x,x,0,0,0
Turrón tipo navideño,485,13.0,13.0,28.1,0,2.30,18.30,6.20,0,5.58,0.620,0,0,0,44.9,x,35.0,35.0,1.0,0,x,13,x,40,x,250,2.10,25,2.3,x,29,0,0,0,0.080,0.330,0,0,0
"Salmón blanco, crudo",114,75.2,21.6,3.0,46,0.55,0.92,0.55,0,0.04,0.031,0.010,0.124,0.227,0.2,0.2,0,0,0,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Bananita con cobertura de cho- colate,379,17.8,2.9,10.0,5.0,6.40,3.00,0.50,0,0.48,0,0,0,0,69.3,69.3,60.0,60.0,0,0,x,22,x,x,x,x,x,x,x,x,x,0,0,0,x,x,0,0,0
"Chicha, bebida tradicional obteni- da por fermentación del maíz",94,83.0,0.6,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,16.0,16.0,0,0,0,4,x,x,x,25,x,35,3.50,x,x,x,x,0,0,0,x,x,0,0,0
"Sal dietética, sin sodio",0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,100,0,52300,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sal modificada, 33% Cloruro de
sodio",0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,100.0,13200,34500,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sal dietética o modificada, PRO- MEDIO",0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,100,20000,26150,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sal modificada, 66% Cloruro de
sodio",0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,100.0,26400,17260,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Café instantáneo (polvo o granu- lado para preparar),355,3.1,12.2,0.5,0,0.20,0.04,0.20,0,0.00,0,0,0,0,75.4,75.4,0,0,0,0,8.8,37,3535,141,0.139,303,4.41,327,0.35,28.17,0,0,0,0,0.008,0.074,0,0,0
Café instantáneo descafeinado (polvo o granulado para preparar),392,3.2,21.6,0.2,0,0.10,0.02,0.10,0,0.00,0,0,0,0,76.0,76.0,0,0,0,0,9,23,3501,140,0.069,286,3.80,311,0.11,28.08,0,0,0,0,0,1.360,0,0,0
"Tomate, desecado",257,14.6,14.1,3.0,0,0.43,0.49,1.12,0,1.10,0.011,0,0,0,43.5,55.8,37.6,0,12.3,0,12.6,107,3427,110,1.423,356,9.09,194,1.99,9.05,68,0,44,0,0.528,0.489,0,39.2,0
Malta instantánea en polvo,267,8.0,6.0,2.5,0,0.60,0.36,1.23,0,1.13,0.083,0.003,0,0,55.1,78.4,4.6,4.6,23.3,0,5.06,83,2443,58,0.208,580,4.60,244,0.51,17.66,52,0,0,0,0.413,0.095,0,0,0
Soja texturizada,283,7.3,51.5,1.2,0,0.14,0.21,0.53,0,0.47,0.063,0,0,0,16.4,33.9,16.4,16.4,17.5,0,x,20,2384,241,4.065,674,9.24,290,2.46,2.61,305,0,2,0,0.698,0.253,0,0,0
"Harina de soja, cruda",338,4.61,49.8,8.9,0,1.29,1.46,4.215,0,3.66,0.55,0,0,0,14.63,30.63,9.33,0,16,0,6.04,9,2090,285,1.6,675,8.2,285,4.1,2.95,289,0,2,0,1.088,0.28,0,0,0
"Soja, porotos, crudos",413,9.6,34.6,19.9,0,2.88,4.40,11.26,0,9.93,1.330,0,0,0,23.8,39.8,7.3,0,16.0,0,4.41,7,2008,175,1.658,498,7.60,280,3.7,1.62,375,0,1,0,0.874,0.460,0,6.0,0
"Porotos, crudos",276,13.1,21.1,1.1,0,0.22,0.07,0.36,0,0.20,0.166,0,0,0,45.3,60.5,2.1,0,15.2,0,4.1,8,1710,125,0.984,437,13.26,190,3.4,1.70,388,0,0,0,0.399,0.185,0,0,0
"Leche descremada en polvo, forti-
ficada con vitaminas A y D",360,3.2,35.5,1.0,20,0.50,0.20,0.03,0,0.02,0.011,0,0,0,52.2,52.2,52.0,0,0,0,8.20,563,1640,1303,0.041,1027,0.53,110,4.08,0.95,50,0,326,320,0.415,1.550,4.03,6.8,5
"Hongos, secos",303,9.5,9.6,1.0,0,0.23,0.32,0.15,0,0.14,0.013,0,0,0,63.9,75.4,2.2,0,11.5,0,4.56,13,1534,11,5.165,294,1.72,132,7.66,14.10,163,0,0,0,0.300,1.270,0,3.5,3.90
Cacao amargo*,285,3.0,19.6,13.7,0,8.07,4.57,0.44,0,0.44,0,0,0,0,20.9,57.9,1.8,0,37.0,0,5.8,21,1524,128,3.788,734,13.86,499,6.81,2.19,32,0,0,0,0.078,0.241,0,0,0
Kero o melaza,300,21.9,0.0,0.1,0,0.02,0.03,0.05,0,0.00,0,0,0,0,74.7,74.7,74.7,74.7,0,0,3.3,37,1464,205,0.487,31,4.72,242,0.29,0.93,0,0,0,0,0.041,0.002,0,0,0
Salvado de trigo,171,14.0,16.3,5.5,0,0.89,0.74,2.86,0.02,1.39,0.110,0.005,0,0,14.0,64.5,0.4,0,44.7,0,5.42,27,1304,74,0.998,904,9.20,480,9.6,19.10,79,0,0,0,1.058,0.500,0,0,0
"Leche descremada en polvo, tipo Nido Buen Día, fortificada con hierro y calcio",495,9.1,18.5,26.2,54,13.30,7.30,3.00,0.70,2.60,0.290,0,0,0,46.2,46.2,46.2,0,0,0,x,370,1224,1000,0.080,761,6.00,85,3,0.65,37,0,512,507,0.283,1.205,3.25,38.0,8
"Leche en polvo, 25% menos de grasas saturadas, fortificada con vitaminas A, D, C, calcio y zinc",501,8.3,18.8,26.9,69,11.20,8.46,3.50,0.76,3.07,0.381,0,0,0,46.0,46.0,46.0,8.0,0,0,x,331,1224,833,0.08,600,6.50,85,4.2,0.65,37,0,419,419,0.283,1.205,3.25,42.3,4.60
